Id;Hora de início;Hora de conclusão;Email;Nome;Você declara ter mais de 18 anos e concorda em participar voluntariamente desta pesquisa sob os termos descritos?;Qual a sua idade? ;  2. Qual o seu gênero? ; Qual é o seu tipo de moradia?;Com quem você mora?;Você já tem animais de estimação?; Você já adotou ou tentou adotar um animal?; Quais são ou foram as principais dificuldades que você encontrou no processo de adoção?;"Como você buscou ou buscaria um animal para adotar? 
";" O que é mais importante para você ao escolher um animal? 
Escolha até 3 ";"Que informações sobre o animal você considera importantes antes de demonstrar interesse na adoção? 
";"O que faria você utilizar uma plataforma de adoção com mais frequência? 
";O que poderia fazer você perder a confiança ou desistir de utilizar uma plataforma de adoção?;Que tipo de informação sobre o animal você gostaria de saber antes de demonstrar interesse na adoção?;Qual é a probabilidade de você nos recomendar a um amigo ou a um colega?; Você resgata, cuida ou encaminha animais para adoção?; Qual é o seu perfil?;" Quais são as principais dificuldades para encontrar lares adequados para os animais? 
";O que uma plataforma de adoção precisaria oferecer para facilitar seu trabalho?
1;03/09/2026 20:41;03/09/2026 20:41;anonymous;;Sim, eu aceito participar.;28;Masculino;Casa com quintal.; Com familiares ;Sim; Sim, já adotei!;confiança por parte de ambas as partes.;"Redes sociais;ONG ou abrigo;Feira de adoção;Protetores independentes;Indicação;";"Espécie ;Porte;";"Sexo;Localização;Fotos e vídeos;Estado de saúde;";"Informações mais completas sobre os animais;Processo de adoção mais simples;Comunicação direta com o responsável pelo animal;";Burocracia;;10;Não;;;
2;03/09/2026 20:43;03/09/2026 20:52;anonymous;;Sim, eu aceito participar.;26;Femenino; Apartamento; Sozinho(a) ;Sim; Sim, já adotei!;Geralmente adorei de algum parente ou peguei em situação de abandono então, legalmente n vi nem uma dificuldade, mas ser baixa renda e ainda tentar salvar um bichinho dói no bolso. Principalmente na hora de castrar, uma dificuldade em marcar o dia e entrar em contato com o centro veterinário da cidade. ;"Redes sociais;Sites ou aplicativos de adoção;Indicação;Feira de adoção;Protetores independentes;";"Porte;Temperamento;";"Porte;Temperamento;Histórico do animal;Comportamento com crianças;Comportamento com outros animais;Localização;Fotos e vídeos;";"Filtros de busca mais precisos ;Visualização de animais próximos à minha localização;Informações mais completas sobre os animais;Processo de adoção mais simples;Comunicação direta com o responsável pelo animal;Informações claras sobre os requisitos para adoção;";Caso a plataforma n verifica-se os usuários que façam vendas de animais;Se o animal é tranquilo no caso n seja agressivo ;10;Não;;;
3;03/09/2026 20:43;03/09/2026 20:53;anonymous;;Sim, eu aceito participar.;27;Femenino;Casa com quintal.; Com familiares ;Sim; Sim, já adotei!;Não ocorreu nenhuma dificuldade ;"Feira de adoção;Redes sociais;Indicação;";"Temperamento;";"Estado de saúde;Comportamento com outros animais;Localização;";"Visualização de animais próximos à minha localização;Processo de adoção mais simples;Comunicação direta com o responsável pelo animal;";dificuldade para entrar em contato com os responsáveis;idade, porte, sexo, histórico de saúde, vacinas, castração, comportamento, convivência com outros animais;10;Não;;;
4;03/09/2026 20:51;03/09/2026 20:55;anonymous;;Sim, eu aceito participar.;29;Femenino;Casa com quintal.; Com familiares ;Sim; Sim, já adotei!;Não tive dificuldades pois foi adoção entre amigos ;"ONG ou abrigo;Feira de adoção;Protetores independentes;Indicação;";"Estado de saúde;";"Idade ;Estado de saúde;Vacinação;Castração;Necessidades especiais;Histórico do animal;Comportamento com outros animais;Fotos e vídeos;Temperamento;";"Visualização de animais próximos à minha localização;Informações mais completas sobre os animais;Processo de adoção mais simples;Comunicação direta com o responsável pelo animal;Informações claras sobre os requisitos para adoção;";Não ter informações sobre o estado de saúde do animal, fotos e vídeos ;Se possui alguma doença contagiosa pois tenho outros animais ;10;Sim;Realizo resgates de forma independente/ocasional;"Dificuldade para encontrar interessados compatíveis;Dificuldade para verificar a adequação dos adotantes;Desistência de interessados durante o processo;";Seria bom um aplicativo onde o tutor pudesse colocar ou postar o processo de adaptação do animal, fotos e vídeos, etc...
5;03/09/2026 20:57;03/09/2026 20:59;anonymous;;Sim, eu aceito participar.;29;Femenino;Casa sem quintal ; Sozinho(a) ;Não; Sim, já adotei!;Nenhuma. Tirei da rua;"Feira de adoção;";"Temperamento;Estado de saúde;";"Temperamento;Estado de saúde;Necessidades especiais;Comportamento com crianças;";"Filtros de busca mais precisos ;";Não sei dizer;Estado de saúde ;;Não;;;
6;03/09/2026 20:48;03/09/2026 21:01;anonymous;;Sim, eu aceito participar.;22;Masculino; Apartamento; Com familiares ;Sim; Sim, já adotei!;Não encontrei dificuldade ;"Feira de adoção;";"Porte;";"Temperamento;";"Visualização de animais próximos à minha localização;";;;10;Não;;;
7;03/09/2026 21:03;03/09/2026 21:04;anonymous;;Sim, eu aceito participar.;67;Masculino;Casa com quintal.; Sozinho(a) ;Sim; Não tenho interesse.;;;;;;;;;;;;
8;03/09/2026 21:16;03/09/2026 21:19;anonymous;;Sim, eu aceito participar.;26;Masculino;Casa com quintal.; Com familiares ;Sim; Sim, já adotei!;Se acostumar com o novo lar, devido a traumas passados.;"Conhecidos doando.;";"Temperamento;Porte;";"Comportamento com outros animais;Comportamento com crianças;Temperamento;";"Comunicação direta com o responsável pelo animal;Informações claras sobre os requisitos para adoção;";Falta de transparencia sobre a adoção.;Temperamento.;10;Não;;;
9;03/09/2026 21:14;03/09/2026 21:19;anonymous;;Sim, eu aceito participar.;27;Masculino; Apartamento;Com parceiro(a);Sim; Sim, já adotei!;não foram grandes dificuldades, mas as condições precárias que os animais chegaram até nós, foi algo triste. Porém, jamais seria um impeditivo;"Indicação;";"Espécie ;";"Necessidades especiais;Comportamento com outros animais;Porte;";"Visualização de animais próximos à minha localização;Comunicação direta com o responsável pelo animal;";falta de atualização dos pets (por exemplo, tem sites que não tiram os que já foram adotados) ;comportamento com outros animais ;10;Não;;;
10;03/09/2026 21:24;03/09/2026 21:31;anonymous;;Sim, eu aceito participar.;24;Masculino; Apartamento; Com familiares ;Sim; Sim, já adotei!;Nenhuma, pois foram meus pais que adotaram ;"Indicação;ONG ou abrigo;Feira de adoção;";"Porte;Temperamento;Idade;";"Histórico do animal;";"Informações claras sobre os requisitos para adoção;Processo de adoção mais simples;Informações mais completas sobre os animais;";;;5;Não;;;
